Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
Nonanol,143-8-8,1-Nonanol,Floral (Rose),Top,C9 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),144.26,2.73,CCCCCCCCCO,"Fraterworks, MySkinRecipes, PerfumersWorld"
Nootkatone Crystals,4674-50-4,"(4R,4aS,6R)-4,4a-dimethyl-6-prop-1-en-2-yl-3,4,5,6,7,8-hexahydronaphthalen-2-one",Unclassified,,C15 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),218.34,3.9,C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,"Fraterworks, MySkinRecipes"
Nopyl Acetate,128-51-8,(-)-Nopyl acetate,Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),208.3,2.93,CC(=O)OCCC1=CCC2CC1C2(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Nutty Furan,1193-79-9,1-(5-methylfuran-2-yl)ethanone,Unclassified,,C7 O2,Ketone,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),124.14,1.79,CC(=O)c1ccc(C)o1,"Fraterworks, MySkinRecipes"
Nutty Pyrazine,23747-48-0,"5-methyl-6,7-dihydro-5H-cyclopenta[b]pyrazine",Unclassified,,C8 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),134.18,1.53,CC1CCc2nccnc21,Fraterworks
Nutty Quinoxaline,34413-35-9,"5,6,7,8-tetrahydroquinoxaline",Unclassified,,C8 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),134.18,1.36,c1cnc2c(n1)CCCC2,MySkinRecipes
Nympheal,55066-48-3,,Floral (Muguet),Heart,C12 O1,Primary Alcohol,Aromatic (Benzene),No,Standard (Alcohol Compatible),178.27,2.64,CC(CCO)CCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Nympheal™,1637294-12-2,3-(4-isobutyl-2-methylphenyl)propanal,Floral (Muguet),Heart,C14 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),204.31,3.33,Cc1cc(CC(C)C)ccc1CCC=O,Fraterworks
Ocean Carboxaldehyde,20407-84-5,(E)-dodec-2-enal,Unclassified,,C12 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),182.31,3.88,CCCCCCCCCC=CC=O,"Fraterworks, MySkinRecipes"
Oceanol,33662-58-7,"methyl 2,4-dihydroxy-3-methylbenzoate",Unclassified,,C9 O4,"Ester, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),182.17,1.19,COC(=O)c1ccc(O)c(C)c1O,Fraterworks
Ocimene,13877-91-3,beta-Ocimene,Unclassified,,C10,Hydrocarbon / Other,Aliphatic,No,Standard (Alcohol Compatible),136.24,3.48,C=CC(C)=CCC=C(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Octahydrocoumarin,4430-31-3,Octahydrocoumarin,Unclassified,,C9 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),154.21,1.88,O=C1CCC2CCCCC2O1,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Octanol,111-87-5,1-octanol,Citrus (Orange),Top,C8 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),130.23,2.34,CCCCCCCCO,"MySkinRecipes, PerfumersWorld"
Octinoxate,5466-77-3,2-ethylhexyl (E)-3-(4-methoxyphenyl)prop-2-enoate,Unclassified,,C18 O3,"Ester, Ether",Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),290.4,4.47,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,Fraterworks
Octyl Acetate (FEMA-2806),112-14-1,octyl acetate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.91,CCCCCCCCOC(C)=O,MySkinRecipes
Octyl Butyrate,110-39-4,octyl butanoate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),200.32,3.69,CCCCCCCCOC(=O)CCC,MySkinRecipes
Okoumal,131812-67-4,"2,4-dimethyl-2-(5,5,8,8-tetramethyl-6,7-dihydronaphthalen-2-yl)-1,3-dioxolane",Unclassified,,C19 O2,Ketal,Aromatic (Benzene),Yes,Lipophilic (Oil/Wax Compatible),288.43,4.64,CC1COC(C)(c2ccc3c(c2)C(C)(C)CCC3(C)C)O1,"Fraterworks, MySkinRecipes"
Onestolide®,109-29-5,OXACYCLOHEPTADECAN-2-ONE,Unclassified,,C16 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Lipophilic (Oil/Wax Compatible),254.41,5.0,O=C1CCCCCCCCCCCCCCCO1,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Operanide,823178-41-2,"2,2,6,6,7,8,8-heptamethyl-4,5,7,8b-tetrahydro-3aH-cyclopenta[g][1,3]benzodioxole",Unclassified,,C17 O2,Ketal,Aliphatic,Yes,Lipophilic (Oil/Wax Compatible),264.41,4.3,CC1C(C)(C)C2=C(C3OC(C)(C)OC3CC2)C1(C)C,Fraterworks
Oranger Crystals,93-8-3,2-Acetylnaphthalene,Floral (Mimosa),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Standard (Alcohol Compatible),170.21,3.04,CC(=O)c1ccc2ccccc2c1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Orcinyl 3,3209-13-0,3-methoxy-5-methylphenol,Unclassified,,C8 O2,"Ether, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),138.17,1.71,COc1cc(C)cc(O)c1,Fraterworks
Orivone,16587-71-6,4-tert-Pentylcyclohexanone,Unclassified,,C11 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),168.28,3.18,CCC(C)(C)C1CCC(=O)CC1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Osyrol,1325-54-8,,Unclassified,,C12 O3 N3 S1,Amine,Aromatic (Benzene),No,Hydrophilic (Water Compatible),299.29,-0.52,Nc1ccc(-c2ccccc2N=NS(=O)(=O)[O-])cc1.[Na+],PerfumersWorld
Osyrol,41890-92-0,"3,7-dimethyl-7-methoxyoctan-2-ol",Unclassified,,C11 O2,"Ether, Secondary Alcohol",Aliphatic,No,Standard (Alcohol Compatible),188.31,2.6,COC(C)(C)CCCC(C)C(C)O,"Fraterworks, MySkinRecipes"
Oxane 50 TEC,59323-76-1,"(2R,4S)-2-methyl-4-propyl-1,3-oxathiane",Unclassified,,C8 O1 S1,Ether,Aliphatic,Yes,Standard (Alcohol Compatible),160.28,2.65,CCCC1CCOC(C)S1,"Fraterworks, MySkinRecipes"
Oxynex® ST,444811-29-4,"bis(2-ethylhexyl) 2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]propanedioate",Unclassified,,C28 O7,"Ester, Ether, Phenol",Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),492.65,6.31,CCCCC(CC)COC(=O)C(=Cc1cc(OC)c(O)c(OC)c1)C(=O)OCC(CC)CCCC,Fraterworks
Oxyoctaline Formate,65405-72-3,"(2,4a,5,8a-tetramethyl-1,2,3,4,7,8-hexahydronaphthalen-1-yl) formate",Unclassified,,C15 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),236.35,3.71,CC1=CCCC2(C)C(OC=O)C(C)CCC12C,"Fraterworks, MySkinRecipes"
P Menth-3-yl Isovalerate (FEMA 2669),16409-46-4,(5-methyl-2-propan-2-ylcyclohexyl) 3-methylbutanoate,Unclassified,,C15 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),240.39,4.04,CC(C)CC(=O)OC1CC(C)CCC1C(C)C,MySkinRecipes
p-Methyl Acetophenone,122-0-9,4'-Methylacetophenone,Unclassified,,C9 O1,Ketone,Aromatic (Benzene),No,Standard (Alcohol Compatible),134.18,2.2,CC(=O)c1ccc(C)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
p-Methyl Anisole,104-93-8,4-Methylanisole,Unclassified,,C8 O1,Ether,Aromatic (Benzene),No,Standard (Alcohol Compatible),122.17,2.0,COc1ccc(C)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Palmitic Acid,57-10-3,hexadecanoic acid,Unclassified,,C16 O2,Carboxylic Acid,Aliphatic,No,Lipophilic (Oil/Wax Compatible),256.43,5.55,CCCCCCCCCCCCCCCC(=O)O,Fraterworks
Pandanol,3558-60-9,2-methoxyethylbenzene,Unclassified,,C9 O1,Ether,Aromatic (Benzene),No,Standard (Alcohol Compatible),136.19,1.88,COCCc1ccccc1,"Fraterworks, MySkinRecipes"
Para Cresyl Caprylate,59558-23-5,(4-methylphenyl) octanoate,Unclassified,,C15 O2,Ester,Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),234.34,4.26,CCCCCCCC(=O)Oc1ccc(C)cc1,Fraterworks
Para Cresyl Isobutyrate (FEMA 3075),103-93-5,(4-methylphenyl) 2-methylpropanoate,Unclassified,,C11 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),178.23,2.56,Cc1ccc(OC(=O)C(C)C)cc1,MySkinRecipes
Para Tolyl Aldehyde,104-87-0,4-methylbenzaldehyde,Unclassified,,C8 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),120.15,1.81,Cc1ccc(C=O)cc1,Fraterworks
para-Cresol,106-44-5,P-CRESOL,Woods (Agarwood),Base,C7 O1,Phenol,Aromatic (Benzene),No,Standard (Alcohol Compatible),108.14,1.7,Cc1ccc(O)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
para-Cresyl Acetate,140-39-6,p-Tolyl acetate,Unclassified,,C9 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),150.18,1.92,CC(=O)Oc1ccc(C)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
para-Cresyl Phenyl Acetate,101-94-0,p-Tolyl phenylacetate,Unclassified,,C15 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),226.28,3.14,Cc1ccc(OC(=O)Cc2ccccc2)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Paradisamide,406488-30-0,"Butanamide, 2-ethyl-N-methyl-N-(3-methylphenyl)-",Fruit (Tropical),Heart,C14 O1 N1,Hydrocarbon / Other,Aromatic (Benzene),No,Standard (Alcohol Compatible),219.33,3.39,CCC(CC)C(=O)N(C)c1cccc(C)c1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Parmavert,38462-22-5,,Unclassified,,C10 O1 S1,"Ketone, Thiol",Aliphatic,No,Standard (Alcohol Compatible),186.32,2.7,CC1CCC(C(C)(C)S)C(=O)C1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Passifloran 1% DPG,136954-25-1,3-acetylsulfanylhexyl acetate,Unclassified,,C10 O3 S1,Ester,Aliphatic,No,Standard (Alcohol Compatible),218.32,2.39,CCCC(CCOC(C)=O)SC(C)=O,Fraterworks
Patchone,98-52-2,4-tert-Butylcyclohexanol,Unclassified,,C10 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),156.27,2.58,CC(C)(C)C1CCC(O)CC1,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Pear Ester,3025-30-7,"ethyl (2E,4Z)-deca-2,4-dienoate",Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),196.29,3.24,CCCCCC=CC=CC(=O)OCC,Fraterworks
Pentan-2-one (FEMA 2842),107-87-9,pentan-2-one,Unclassified,,C5 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),86.13,1.38,CCCC(C)=O,MySkinRecipes
Pentyl Octanoate (FEMA 2079),638-25-5,pentyl octanoate,Unclassified,,C13 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),214.35,4.08,CCCCCCCC(=O)OCCCCC,MySkinRecipes
Pentyl Propanoate Amyl Propionate (FEMA 2082),624-54-4,pentyl propanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,2.13,CCCCCOC(=O)CC,MySkinRecipes
Peomosa,19819-98-8,2-(2-methylphenyl)ethanol,Unclassified,,C9 O1,Primary Alcohol,Aromatic (Benzene),No,Standard (Alcohol Compatible),136.19,1.53,Cc1ccccc1CCO,Fraterworks
Peonile,10461-98-0,alpha-cyclohexylidene benzeneacetonitrile,Floral (Peony),Heart,C14 N1,Nitrile,Aromatic (Benzene),No,Standard (Alcohol Compatible),197.28,3.93,N#CC(=C1CCCCC1)c1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Peranat,90397-38-9,2-Methylpentyl 2-methylpentanoate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),200.32,3.4,CCCC(C)COC(=O)C(C)CCC,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Pharaone 10%,313973-37-4,"2-cyclohexylhepta-1,6-dien-3-one",Unclassified,,C13 O1,"Allyl, Ketone",Aliphatic,No,Standard (Alcohol Compatible),192.3,3.66,C=CCCC(=O)C(=C)C1CCCCC1,"Fraterworks, MySkinRecipes"
Phenethyl Benzoate,94-47-3,2-phenylethyl benzoate,Unclassified,,C15 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),226.28,3.09,O=C(OCCc1ccccc1)c1ccccc1,MySkinRecipes
Phenethyl Formate,104-62-1,2-Phenylethyl formate,Unclassified,,C9 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),150.18,1.4,O=COCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenethyl Isovalerate (FEMA 2871),140-26-1,2-phenylethyl 3-methylbutanoate,Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),206.28,2.82,CC(C)CC(=O)OCCc1ccccc1,MySkinRecipes
Phenethyl Phenyl Acetate,102-20-5,Phenethyl phenylacetate,Unclassified,,C16 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),240.3,3.02,O=C(Cc1ccccc1)OCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenethyl Salicylate,87-22-9,Phenethyl salicylate,Unclassified,,C15 O3,Salicylate,Aromatic (Benzene),No,Standard (Alcohol Compatible),242.27,2.79,O=C(OCCc1ccccc1)c1ccccc1O,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenoxy Ethyl Isobutyrate,103-60-6,2-Phenoxyethyl isobutyrate,Unclassified,,C12 O3,"Ester, Ether",Aromatic (Benzene),No,Standard (Alcohol Compatible),208.26,2.26,CC(C)C(=O)OCCOc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenyl Acetaldehyde 50% PEA,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),120.15,1.43,O=CCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenyl Acetic Acid 40% DPG,103-82-2,2-phenylacetic acid,Unclassified,,C8 O2,Carboxylic Acid,Aromatic (Benzene),No,Standard (Alcohol Compatible),136.15,1.31,O=C(O)Cc1ccccc1,Fraterworks
Phenyl Ethyl Acetate,103-45-7,Phenethyl acetate,Unclassified,,C10 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),164.2,1.79,CC(=O)OCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Phenyl Ethyl Alcohol,60-12-8,2-PHENYLETHANOL,Green (Harsh),Top,C8 O1,Primary Alcohol,Aromatic (Benzene),No,Standard (Alcohol Compatible),122.17,1.22,OCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Phenyl Ethyl Butyrate,103-52-6,2-phenylethyl butanoate,Unclassified,,C12 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),192.26,2.57,CCCC(=O)OCCc1ccccc1,"Fraterworks, MySkinRecipes"
Phenyl Ethyl Cinnamate,103-53-7,2-phenylethyl (E)-3-phenylprop-2-enoate,Unclassified,,C17 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),252.31,3.49,O=C(C=Cc1ccccc1)OCCc1ccccc1,"Fraterworks, MySkinRecipes"
Phenyl Ethyl Isoamyl Ether,56011-2-0,Isopentyl phenethyl ether,Unclassified,,C13 O1,Ether,Aromatic (Benzene),No,Standard (Alcohol Compatible),192.3,3.29,CC(C)CCOCCc1ccccc1,"MySkinRecipes, PerfumersWorld"
Phenyl Ethyl Isobutyrate,103-48-0,Phenethyl isobutyrate,Unclassified,,C12 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),192.26,2.43,CC(C)C(=O)OCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenyl Ethyl Pivalate,67662-96-8,"2-phenylethyl 2,2-dimethylpropanoate",Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),206.28,2.82,CC(C)(C)C(=O)OCCc1ccccc1,Fraterworks
Phenyl Ethyl Propionate,122-70-3,2-phenylethyl propanoate,Unclassified,,C11 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),178.23,2.18,CCC(=O)OCCc1ccccc1,"Fraterworks, MySkinRecipes"
Phenyl Ethyl Tiglate,55719-85-2,2-phenylethyl (E)-2-methylbut-2-enoate,Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),204.27,2.74,CC=C(C)C(=O)OCCc1ccccc1,Fraterworks
Phenyl Propyl Alcohol,122-97-4,3-PHENYL-1-PROPANOL,Unclassified,,C9 O1,Primary Alcohol,Aromatic (Benzene),No,Standard (Alcohol Compatible),136.19,1.61,OCCCc1ccccc1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Phenyl Propyl Aldehyde (FEMA 2887),104-53-0,3-phenylpropanal,Unclassified,,C9 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),134.18,1.82,O=CCCc1ccccc1,MySkinRecipes
Phenyl Propyl Cinnamate,122-68-9,3-phenylpropyl (E)-3-phenylprop-2-enoate,Unclassified,,C18 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),266.34,3.88,O=C(C=Cc1ccccc1)OCCCc1ccccc1,Fraterworks
Physeol,68845-0-1,"2-Ethoxy-2,6,6-trimethyl-9-methylenebicyclo[3.3.1]nonane",Unclassified,,C15 O1,Ether,Aliphatic,No,Lipophilic (Oil/Wax Compatible),222.37,4.18,C=C1C2CCC(C)(OCC)C1CCC2(C)C,"Fraterworks, PerfumersWorld"
Piconia,23787-90-8,"2H-2,4a-Methanonaphthalen-8(5H)-one, 1,3,4,6,7,8a-hexahydro-1,1,5,5-tetramethyl-",Unclassified,,C15 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),220.36,3.82,CC1(C)C2CCC3(C2)C1C(=O)CCC3(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Pinoacetaldehyde,33885-51-7,"3-(6,6-dimethyl-2-bicyclo[3.1.1]hept-2-enyl)propanal",Unclassified,,C12 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),178.27,2.96,CC1(C)C2CC=C(CCC=O)C1C2,Fraterworks
Piperitone,89-81-6,3-methyl-6-propan-2-ylcyclohex-2-en-1-one,Unclassified,,C10 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),152.24,2.57,CC1=CC(=O)C(C(C)C)CC1,Fraterworks
Piperonyl acetate,326-61-4,PIPERONYL ACETATE,Unclassified,,C10 O4,"Acetal, Ester",Aromatic (Benzene),Yes,Standard (Alcohol Compatible),194.19,1.48,CC(=O)OCc1ccc2c(c1)OCO2,"Fraterworks, PerfumersWorld"
Pistachio Thiazole 1% in DPG,15679-12-6,"2-ethyl-4-methyl-1,3-thiazole",Unclassified,,C6 N1 S1,Thiazole,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),127.21,2.01,CCc1nc(C)cs1,"Fraterworks, MySkinRecipes"
Polysantol,107898-54-4,"(E)-3,3-dimethyl-5-(2,2,3-trimethylcyclopent-3-en-1-yl)pent-4-en-2-ol",Woods (Rot),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),222.37,3.94,CC1=CCC(C=CC(C)(C)C(C)O)C1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Potato Butyraldehyde (FEMA 3374),16630-52-7,3-methylsulfanylbutanal,Unclassified,,C5 O1 S1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),118.2,1.33,CSC(C)CC=O,MySkinRecipes
Potato Pyrazine,14667-55-1,"2,3,5-trimethylpyrazine",Unclassified,,C7 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),122.17,1.4,Cc1cnc(C)c(C)n1,"Fraterworks, MySkinRecipes"
Praslin Pyrazine,123-32-0,"2,5-dimethylpyrazine",Unclassified,,C6 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),108.14,1.09,Cc1cnc(C)cn1,"Fraterworks, MySkinRecipes"
Precyclemone B,52475-86-2,,Unclassified,,C14 O1,Aldehyde,Aliphatic,No,Lipophilic (Oil/Wax Compatible),206.33,4.05,CC(C)=CCCC1=CCC(C)(C=O)CC1,PerfumersWorld
Precyclemone B,52474-60-9,Precyclemone B,Unclassified,,C14 O1,Aldehyde,Aliphatic,No,Lipophilic (Oil/Wax Compatible),206.33,4.05,CC(C)=CCCC1=CCCC(C)(C=O)C1,"Fraterworks, MySkinRecipes"
Prenyl Acetate,1191-16-8,Prenyl acetate,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),128.17,1.52,CC(=O)OCC=C(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Propionaldehyde (FEMA 2923),123-38-6,propanal,Unclassified,,C3 O1,Aldehyde,Aliphatic,No,Hydrophilic (Water Compatible),58.08,0.6,CCC=O,MySkinRecipes
Propyl 2-Methylbutyrate,37064-20-3,propyl 2-methylbutanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,1.99,CCCOC(=O)C(C)CC,MySkinRecipes
Propyl Acetate (FEMA 2925),109-60-4,propyl acetate,Unclassified,,C5 O2,Ester,Aliphatic,No,Hydrophilic (Water Compatible),102.13,0.96,CCCOC(C)=O,MySkinRecipes
Propyl Butyrate (FEMA 2934),105-66-8,propyl butanoate,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),130.19,1.74,CCCOC(=O)CCC,MySkinRecipes
Propyl Caproate (FEMA 2949),626-77-7,propyl hexanoate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),158.24,2.52,CCCCCC(=O)OCCC,MySkinRecipes
Propyl Decanoate,30673-60-0,propyl decanoate,Unclassified,,C13 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),214.35,4.08,CCCCCCCCCC(=O)OCCC,MySkinRecipes
Propyl Heptanoate (FEMA 2948),7778-87-2,propyl heptanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.91,CCCCCCC(=O)OCCC,MySkinRecipes
Propyl Isobutyrate (FEMA 2936),644-49-5,propyl 2-methylpropanoate,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),130.19,1.6,CCCOC(=O)C(C)C,MySkinRecipes
Propyl Octanoate (Propyl Caprylate),624-13-5,propyl octanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.3,CCCCCCCC(=O)OCCC,MySkinRecipes
Propyl Propanoate (FEMA 2958),106-36-5,propyl propanoate,Unclassified,,C6 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),116.16,1.35,CCCOC(=O)CC,MySkinRecipes
Propyl Thioacetate (FEMA 3385),2307-10-0,S-propyl ethanethioate,Unclassified,,C5 O1 S1,Hydrocarbon / Other,Aliphatic,No,Standard (Alcohol Compatible),118.2,1.68,CCCSC(C)=O,MySkinRecipes
Pyrazine (FEMA 4015),290-37-9,pyrazine,Unclassified,,C4 N2,Pyrazine,Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),80.09,0.48,c1cnccn1,MySkinRecipes
Pyrazine Ethanethiol (FEMA 3230),35250-53-4,2-pyrazin-2-ylethanethiol,Unclassified,,C6 N2 S1,"Pyrazine, Thiol",Aromatic (Heterocycle),Yes,Hydrophilic (Water Compatible),140.21,0.95,SCCc1cnccn1,MySkinRecipes
Pyrazinyl Methyl Sulfide (FEMA 3231),21948-70-9,2-methylsulfanylpyrazine,Unclassified,,C5 N2 S1,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),126.18,1.2,CSc1cnccn1,MySkinRecipes
Pyridine (FEMA 2966),110-86-1,pyridine,Unclassified,,C5 N1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),79.1,1.08,c1ccncc1,MySkinRecipes
Pyroprunat,68039-73-6,(2-cyclopentylcyclopentyl) but-2-enoate,Unclassified,,C14 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),222.33,3.46,CC=CC(=O)OC1CCCC1C1CCCC1,Fraterworks
Pyrrole (FEMA 3386),109-97-7,1H-pyrrole,Unclassified,,C4 N1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),67.09,1.01,c1cc[nH]c1,MySkinRecipes
Raspberry Dicarboxylate Fructalate,72903-27-6,"diethyl cyclohexane-1,4-dicarboxylate",Unclassified,,C12 O4,Ester,Aliphatic,No,Standard (Alcohol Compatible),228.29,1.92,CCOC(=O)C1CCC(C(=O)OCC)CC1,MySkinRecipes
Raspberry Glycidate,52788-71-3,ethyl 3-(4-methylphenyl)oxirane-2-carboxylate,Unclassified,,C12 O3,"Ester, Ether",Aromatic (Benzene),Yes,Standard (Alcohol Compatible),206.24,2.0,CCOC(=O)C1OC1c1ccc(C)cc1,Fraterworks
Raspberry Ketone,5471-51-2,Raspberry ketone,Fruit (Apple),Top,C10 O2,"Ketone, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),164.2,1.91,CC(=O)CCc1ccc(O)cc1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Rhodinol,141-25-3,,Unclassified,,C10 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),156.27,2.75,C=C(C)CCCC(C)CCO,"Fraterworks, MySkinRecipes, PerfumersWorld"
Rhodinyl Acetate,141-11-7,"3,7-dimethyloct-7-enyl acetate",Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),198.31,3.32,C=C(C)CCCC(C)CCOC(C)=O,Fraterworks
Rhubofix,41816-3-9,Rhubofix,Fruit (Rhubarb),Heart,C14 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),206.33,3.74,CC(=O)C=CC12CCC(C)(CC1(C)C)C2,"Fraterworks, MySkinRecipes, PerfumersWorld"
Rhuboflor,93939-86-7,"9-ethylidene-3-oxatricyclo[6.2.1.02,7]undecane",Unclassified,,C12 O1,Ether,Aliphatic,Yes,Standard (Alcohol Compatible),178.27,2.77,CC=C1CC2CC1C1CCCOC21,Fraterworks
Rhumacetal,1670-47-9,"1,1-diethoxycyclohexane",Unclassified,,C10 O2,Ketal,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.72,CCOC1(OCC)CCCCC1,Fraterworks
