Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
Delphone,4819-67-4,2-pentylcyclopentan-1-one,Unclassified,,C10 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),154.25,2.94,CCCCCC1CCCC1=O,"Fraterworks, MySkinRecipes"
Delta Decalactone,705-86-2,DELTA-DECALACTONE,Unclassified,,C10 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),170.25,2.66,CCCCCC1CCCC(=O)O1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Delta Dodecalactone,713-95-1,6-heptyloxan-2-one,Unclassified,,C12 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),198.31,3.44,CCCCCCCC1CCCC(=O)O1,"Fraterworks, MySkinRecipes"
Delta Nonalactone,3301-94-8,6-butyloxan-2-one,Unclassified,,C9 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),156.22,2.27,CCCCC1CCCC(=O)O1,"Fraterworks, MySkinRecipes"
Delta Octalactone,698-76-0,6-propyloxan-2-one,Unclassified,,C8 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),142.2,1.88,CCCC1CCCC(=O)O1,"Fraterworks, MySkinRecipes"
Diacetyl,431-3-8,"2,3-butanedione",Unclassified,,C4 O2,Ketone,Aliphatic,No,Hydrophilic (Water Compatible),86.09,0.16,CC(=O)C(C)=O,"Fraterworks, MySkinRecipes, PerfumersWorld"
Dibutyl Sulfide (FEMA 2215),544-40-1,1-butylsulfanylbutane,Unclassified,,C8 S1,Hydrocarbon / Other,Aliphatic,No,Standard (Alcohol Compatible),146.3,3.32,CCCCSCCCC,MySkinRecipes
Diethyl Hexyl Adipate,103-23-1,bis(2-ethylhexyl) hexanedioate,Unclassified,,C22 O4,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),370.57,6.07,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,Fraterworks
Diethyl Malonate,105-53-3,DIETHYL MALONATE,Unclassified,,C7 O4,Ester,Aliphatic,No,Hydrophilic (Water Compatible),160.17,0.5,CCOC(=O)CC(=O)OCC,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Diethyl Succinate,123-25-1,diethyl butanedioate,Unclassified,,C8 O4,Ester,Aliphatic,No,Hydrophilic (Water Compatible),174.2,0.89,CCOC(=O)CCC(=O)OCC,"Fraterworks, MySkinRecipes"
Diethyl Tartrate (DET),87-91-2,"diethyl (2R,3R)-2,3-dihydroxybutanedioate",Unclassified,,C8 O6,"Ester, Secondary Alcohol",Aliphatic,No,Hydrophilic (Water Compatible),206.19,-1.17,CCOC(=O)C(O)C(O)C(=O)OCC,Fraterworks
Difurfuryl Disulfide (FEMA 3146),4437-20-1,2-[(furan-2-ylmethyldisulfanyl)methyl]furan,Unclassified,,C10 O2 S2,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),226.32,3.95,c1coc(CSSCc2ccco2)c1,MySkinRecipes
Difurfuryl Ether (FEMA 3337),4437-22-3,2-(furan-2-ylmethoxymethyl)furan,Unclassified,,C10 O3,Ether,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),178.19,2.59,c1coc(COCc2ccco2)c1,MySkinRecipes
Difurfuryl Sulfide (FEMA 3238),13678-67-6,2-(furan-2-ylmethylsulfanylmethyl)furan,Unclassified,,C10 O2 S1,Hydrocarbon / Other,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),194.26,3.31,c1coc(CSCc2ccco2)c1,MySkinRecipes
Dihydro Alpha Ionone,31499-72-6,"4-(2,6,6-trimethylcyclohex-2-en-1-yl)butan-2-one",Unclassified,,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),194.32,3.74,CC(=O)CCC1C(C)=CCCC1(C)C,Fraterworks
Dihydro Beta Ionone,17283-81-7,Dihydro-beta-ionone,Unclassified,,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),194.32,3.88,CC(=O)CCC1=C(C)CCCC1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Dihydro Coumarin,119-84-6,dihydrocoumarin,Unclassified,,C9 O2,Lactone,Aromatic (Benzene),Yes,Standard (Alcohol Compatible),148.16,1.54,O=C1CCc2ccccc2O1,"MySkinRecipes, PerfumersWorld"
