SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
4FD02026,Ethyl Isovalerate from PerfumersWorld,108-64-5,ETHYL ISOVALERATE,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),130.19,1.6,CCOC(=O)CC(C)C
3FD04102,Ethyl Lactate from PerfumersWorld,97-64-3,ETHYL LACTATE,Gourmet (Buttery),No description available,C5 O3,"Ester, Secondary Alcohol",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),118.13,-0.07,CCOC(=O)C(C)O
3FH04104,Ethyl Levulinate from PerfumersWorld,539-88-8,ETHYL LEVULINATE,Fruity,No description available,C7 O3,"Ester, Ketone",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),144.17,0.92,CCOC(=O)CCC(=O)C
4LL11499,Ethyl Linalool from PerfumersWorld,10339-55-6,Ethyl linalool,Floral (Fresh),Heart-Top,C11 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.28,3.06,CCC(=CCCC(C)(C=C)O)C
8F3094005311,Ethyl Linalool from SimpleScentsDIY,10339-55-6,Ethyl linalool,Floral (Fresh),Heart-Top,C11 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.28,3.06,CCC(=CCCC(C)(C=C)O)C
3LC19147,Ethyl Linalyl Acetate from PerfumersWorld,61931-80-4,"3,7-dimethylnona-1,6-dien-3-yl acetate",Floral,No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.32,3.63,CCC(=CCCC(C)(C=C)OC(=O)C)C
8F3094001695,Ethyl Maltol (Powder) from SimpleScentsDIY,4940-11-8,Ethyl maltol,Gourmet (Sugar),Modifier,C7 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),140.14,0.91,CCC1=C(C(=O)C=CO1)O
5VF07861,Ethyl Maltol 1% in DPG from PerfumersWorld,4940-11-8,Ethyl maltol,Gourmet (Sugar),Modifier,C7 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),140.14,0.91,CCC1=C(C(=O)C=CO1)O
5VF07531,Ethyl Maltol 5% in DPG from PerfumersWorld,4940-11-8,Ethyl maltol,Gourmet (Sugar),Modifier,C7 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),140.14,0.91,CCC1=C(C(=O)C=CO1)O
1VF00175,Ethyl Maltol from PerfumersWorld,4940-11-8,Ethyl maltol,Gourmet (Sugar),Modifier,C7 O3,"Ether, Ketone",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),140.14,0.91,CCC1=C(C(=O)C=CO1)O
